day,views,watch_minutes,avg_view_duration_sec
2025-07-15,25,28,69
2025-07-16,28,52,111
2025-07-17,13,16,75
2025-07-18,22,132,360
2025-07-19,14,8,34
2025-07-20,21,47,135
2025-07-21,32,85,160
2025-07-22,16,49,184
2025-07-23,10,22,136
2025-07-24,16,21,81
2025-07-25,18,47,157
2025-07-26,14,23,102
2025-07-27,14,29,126
2025-07-28,19,36,115
2025-07-29,17,43,153
2025-07-30,12,40,204
2025-07-31,7,5,49
2025-08-01,17,31,111
2025-08-02,12,38,191
2025-08-03,11,61,338
2025-08-04,12,28,140
2025-08-05,6,1,12
2025-08-06,9,22,152
2025-08-07,9,38,254
2025-08-08,8,10,79
2025-08-09,16,35,134
2025-08-10,16,51,192
2025-08-11,7,20,176
